"L1X2265Y0904","2265","904","L1","45 Francis"
"3X1650Y2766","1650","2766","3","BTM"
"L1X2290Y1284","2290","1284","L1","45 Francis"
"2X4385Y0585","4385","585","2","15 Francis"
"1X1532Y2739","1532","2739","1","BTM"
"1X1017Y2865","1017","2865","1","BTM"
"2X4660Y0770","4660","770","2","15 Francis"
"2X4280Y0475","4280","475","2","15 Francis"
"2X4210Y0630","4210","630","2","15 Francis"
"2X1690Y2240","1690","2240","2","Shapiro"
"2X2811Y1165","2811","1165","2","45 Francis"
"3X2323Y1328","2323","1328","3","45 Francis"
"2X4785Y0975","4785","975","2","15 Francis"
"2X3135Y0890","3135","890","2","45 Francis"
"2X2761Y1032","2761","1032","2","45 Francis"
"3X1815Y1290","1815","1290","3","Tower"
"2X1650Y2602","1650","2602","2","BTM"
"2X1605Y1008","1605","1008","2","Tower"
"3X1534Y2732","1534","2732","3","BTM"
"2X3420Y0850","3420","850","2","15 Francis"
"2X2105Y1280","2105","1280","2","45 Francis"
"1X3085Y0980","3085","980","1","45 Francis"
"2X3855Y0565","3855","565","2","15 Francis"
"1X1965Y1280","1965","1280","1","Tower"
"L1X2665Y1043","2665","1043","L1","45 Francis"
"2X2238Y1028","2238","1028","2","45 Francis"
"2X4295Y0530","4295","530","2","15 Francis"
"3X2772Y1075","2772","1075","3","45 Francis"
"L1X1820Y1284","1820","1284","L1","Tower"
"2X2782Y1152","2782","1152","2","45 Francis"
"1X1721Y0956","1721","956","1","Tower"
"3X1580Y2858","1580","2858","3","BTM"
"2X1284Y1821","1284","1821","2","Shapiro"
"1X1581Y2566","1581","2566","1","BTM"
"2X3980Y0910","3980","910","2","15 Francis"
"2X2055Y1330","2055","1330","2","Tower"
"3X1325Y1290","1325","1290","3","Tower"
"2X1168Y1820","1168","1820","2","Shapiro"
"2X2385Y0800","2385","800","2","45 Francis"
"2X3955Y0830","3955","830","2","15 Francis"
"1X1617Y0825","1617","825","1","Tower"
"L1X2770Y1070","2770","1070","L1","45 Francis"
"1X3270Y0875","3270","875","1","45 Francis"
"L2X1550Y1966","1550","1966","L2","Shapiro"
"3X1735Y0865","1735","865","3","Tower"
"2X3345Y0865","3345","865","2","45 Francis"
"1X2190Y0910","2190","910","1","45 Francis"
"3X1735Y0985","1735","985","3","Tower"
"1X2935Y0900","2935","900","1","45 Francis"
"2X2678Y1032","2678","1032","2","45 Francis"
"3X1611Y2678","1611","2678","3","BTM"
"2X2782Y1165","2782","1165","2","45 Francis"
"2X1740Y1280","1740","1280","2","Tower"
"L2X1745Y1280","1745","1280","L2","Tower"
"3X1650Y2855","1650","2855","3","BTM"
"1X2026Y0910","2026","910","1","Tower"
"1X1749Y2224","1749","2224","1","Shapiro"
"2X2385Y0902","2385","902","2","45 Francis"
"2X3063Y1043","3063","1043","2","45 Francis"
"L2X2215Y0904","2215","904","L2","45 Francis"
"L1X1750Y1284","1750","1284","L1","Tower"
"L1X2130Y0844","2130","844","L1","45 Francis"
"3X1650Y2732","1650","2732","3","BTM"
"3X1690Y0820","1690","820","3","Tower"
"1X1947Y1239","1947","1239","1","Tower"
"2X2672Y0820","2672","820","2","45 Francis"
"2X3296Y1043","3296","1043","2","45 Francis"
"2X2782Y1280","2782","1280","2","45 Francis"
"1X2925Y0910","2925","910","1","45 Francis"
"2X1740Y1165","1740","1165","2","Tower"
"2X4295Y0750","4295","750","2","15 Francis"
"2X1692Y2211","1692","2211","2","Shapiro"
"L1X2220Y0904","2220","904","L1","45 Francis"
"1X1673Y0802","1673","802","1","Tower"
"L1X2360Y0799","2360","799","L1","45 Francis"
"2X3440Y0800","3440","800","2","15 Francis"
"3X1628Y2142","1628","2142","3","Shapiro"
"L1X1702Y2260","1702","2260","L1","Shapiro"
"1X1678Y2865","1678","2865","1","BTM"
"3X1690Y0830","1690","830","3","Tower"
"L2X1512Y1701","1512","1701","L2","Shapiro"
"1X1608Y2737","1608","2737","1","BTM"
"L2X1745Y1009","1745","1009","L2","Tower"
"3X2922Y1075","2922","1075","3","45 Francis"
"1X3085Y1000","3085","1000","1","45 Francis"
"1X1721Y0970","1721","970","1","Tower"
"3X2772Y1290","2772","1290","3","45 Francis"
"L2X1701Y2734","1701","2734","L2","BTM"
"L2X1820Y1280","1820","1280","L2","Tower"
"L1X1688Y2167","1688","2167","L1","Shapiro"
"2X2945Y0902","2945","902","2","45 Francis"
"2X1502Y1820","1502","1820","2","Shapiro"
"1X2128Y1300","2128","1300","1","Tower"
"2X4310Y0585","4310","585","2","15 Francis"
"L2X1512Y1811","1512","1811","L2","Shapiro"
"1X3325Y0870","3325","870","1","45 Francis"
"L2X2130Y0849","2130","849","L2","Tower"
"2X3865Y0750","3865","750","2","15 Francis"
"3X2492Y0887","2492","887","3","45 Francis"
"2X4390Y0605","4390","605","2","15 Francis"
"3X2220Y0944","2220","944","3","45 Francis"
"L1X2320Y1284","2320","1284","L1","45 Francis"
"1X2175Y0910","2175","910","1","45 Francis"
"L1X1665Y2116","1665","2116","L1","Shapiro"
"1X3200Y0880","3200","880","1","45 Francis"
"1X1566Y2139","1566","2139","1","Shapiro"
"1X1707Y2152","1707","2152","1","Shapiro"
"2X1231Y1781","1231","1781","2","Shapiro"
"1X1758Y0956","1758","956","1","Tower"
"1X2660Y0979","2660","979","1","45 Francis"
"2X1825Y1080","1825","1080","2","Tower"
"3X1671Y2695","1671","2695","3","BTM"
